docid,author,realname,pseudonym,gender,nationality,authordate,inferreddate,firstpub,latestcomp,allcopiesofwork,copiesin25yrs,enumcron,imprint,genres,subjects,category,shorttitle
uiuo.ark+=13960=t7tm7kz9z,"Fullom, S. W",,,m,uk,1816-1872,1868,,1868,3,3,v.3,London;R. Bentley;1868.,R. Bentley,,novel,Time will tell
njp.32101066458710,"Ellis, Sarah Stickney",,,f,uk,1799-1872.,1868,,1868,3,3,v.1,London;Hurst;1868.,NotFiction,,novel,Northern roses : a Yorkshire story
uc1.b111410,"Arthur, T. S. (Timothy Shay)","Arthur, Timothy Shay",,m,us,1809-1885.,1871,,1871,2,2,,"Philadelphia;J.M. Stoddart & co.;New York;W. Gibson, jr.;c1871",,,novel,"Orange blossoms, fresh and faded"
uiuo.ark+=13960=t2t44bz9q,"Walmsley, Hugh Mulleneux",,,m,,1826-1879,1871,,1871,3,3,v.3,London;R. Bentley;1871.,,,novel,The life guardsman
uc1.b3125218,"Guernsey, Lucy Ellen",,,f,us,1826-1899.,1874,,1874,2,2,,New York;T. Whittaker;1874,Fiction,,novel,"Lady Rosamond's book, being the second part of the Stanton-Corbet chronicles"
uiuo.ark+=13960=t20c5g68c,"Helps, Arthur, Sir",,,m,uk,1813-1875.,1874,1873,1874,5,5,v.1,London;W. Isbister;1874.,,Fiction|Court and courtiers|Soviet Union,novel,Ivan de Biron
nyp.33433076092190,"Eliot, George","Evans, Mary Anne","Eliot, George",f,uk,1819-1880.,1876,1871,1876,36,26,"v. 7 (Middlemarch, no. 2)",New York;Harper;1876.,Autobiography|NotFiction|Pastoral fiction|Fiction|UnknownGenre,"social life and customs|English literature|England|Fiction|Social life and customs|Fiction|Eliot, George|19th century|1819-1880",novel,Middlemarch
uc1.b4105110,"Eliot, George","Evans, Mary Anne","Eliot, George",f,uk,1819-1880.,1876,,1876,71,49,v.9,New York;Harper;1876.,NotFiction|Novel|Bibliographies|Fiction|Didactic fiction|Jewish fiction|Autobiography|NotBiographical,"Marriage|English literature|England|Fiction|Social life and customs|Upper class|Jews|Eliot, George|19th century|1819-1880|Zionists",novel,Daniel Deronda
uc2.ark+=13960=t7jq0td5n,"Miller, J. (Joaquin)","Miller, Cincinnatus Heine","Miller, Joaquin",m,us,1837-1913.,1876,,1876,2,2,,New York;G. W. Carleton;1876.,Fiction,,novel,The one fair woman
uc2.ark+=13960=t0cv4d859,"Harland, Marion","Terhune, Mary Virginia","Harland, Marion",f,us,1830-1922.,1876,,1876,2,2,,New York;G. W. Carleton;1876.,,,novel,My little love
